,income,credit_score,loan_amount,years_employed,points,loan_approved
63,100284,471,40707,38,45.0,0
64,46361,326,21444,36,25.0,0
65,79615,548,7678,19,55.0,0
66,40328,370,34158,21,25.0,0
67,102357,456,29540,11,50.0,0
68,68427,574,22122,15,40.0,0
69,138711,688,23046,1,65.0,1
70,112397,310,34857,12,50.0,0
71,111070,802,30371,1,75.0,1
72,146057,784,37272,33,85.0,1
73,142945,613,17475,14,70.0,1
74,77400,795,19120,37,85.0,1
75,105674,669,12759,19,70.0,1
76,55203,802,7723,0,70.0,1
77,122349,789,8476,4,85.0,1
78,39116,611,6582,15,50.0,0
79,36006,761,30014,19,60.0,1
80,116673,512,41993,13,50.0,0
81,59871,781,20087,2,65.0,1
82,131327,570,41963,37,50.0,0
83,67930,572,10321,4,35.0,0
84,40458,611,46857,25,40.0,0
85,142108,630,40564,16,65.0,1
86,60512,341,12481,30,45.0,0
87,143571,393,31802,22,55.0,0
88,43238,807,19888,25,65.0,1
89,79823,713,34724,0,50.0,0
90,66434,810,41986,28,75.0,1
91,89429,424,2891,40,55.0,0
92,113320,416,31241,7,45.0,0
93,139328,725,32621,30,80.0,1
94,77819,724,23274,32,70.0,1
95,51319,795,23618,21,70.0,1
96,78520,692,16306,26,75.0,1
97,76566,807,3426,8,90.0,1
98,57460,315,48346,9,30.0,0
99,117841,646,41845,25,65.0,1
100,64993,336,41465,4,25.0,0
101,121988,400,42533,6,45.0,0
102,119593,667,25565,27,70.0,1
103,114939,691,41613,15,75.0,1
104,39358,461,5840,28,35.0,0
105,109840,609,14055,24,70.0,1
106,113227,322,44137,25,50.0,0
107,52431,535,40784,22,35.0,0
108,100010,340,21246,28,55.0,0
109,125568,479,14159,8,50.0,0
110,62087,793,20342,21,75.0,1
111,51417,706,37524,23,60.0,1
112,90589,690,42847,23,65.0,1
113,79735,364,42641,29,40.0,0
114,65382,611,33284,7,45.0,0
115,113886,729,39491,9,70.0,1
116,120198,333,46238,23,50.0,0
117,103000,667,4968,25,75.0,1
118,58785,321,4314,21,50.0,0
119,119733,521,16269,21,55.0,0
120,72504,433,36403,16,35.0,0
121,140474,543,39591,20,50.0,0
122,130704,787,30378,23,90.0,1
123,131711,608,31018,1,55.0,0
124,37331,375,6294,20,35.0,0
125,60021,601,30734,32,50.0,0
126,137715,533,28119,21,55.0,0
127,34207,683,11003,30,55.0,0
128,135518,361,39434,35,50.0,0
129,71347,594,40348,19,50.0,0
130,82581,658,37455,23,55.0,0
131,65093,326,40911,17,35.0,0
132,38675,446,38114,25,25.0,0
133,57653,729,30730,21,60.0,1
134,149686,383,18832,28,55.0,0
135,104341,416,23621,27,55.0,0
136,144867,356,1503,13,60.0,1
137,124098,307,33596,27,50.0,0
138,71245,746,2228,29,85.0,1
139,57869,596,8548,25,60.0,1
140,115909,390,29620,6,45.0,0
141,95435,526,22827,10,50.0,0
142,81856,451,16484,6,45.0,0
143,145957,775,37944,37,85.0,1
144,149871,454,29820,4,45.0,0
145,114259,772,30616,2,75.0,1
146,90142,773,39032,35,75.0,1
147,48726,813,10886,3,65.0,1
148,64718,553,47374,28,35.0,0
149,48301,353,42345,21,25.0,0
150,62325,641,6341,37,60.0,1
151,127647,617,37629,24,65.0,1
152,103579,670,2194,23,85.0,1
153,100644,458,6057,18,60.0,1
154,64438,685,11109,10,70.0,1
155,127912,720,24874,15,80.0,1
156,106622,616,31737,12,65.0,1
157,86155,814,35567,26,80.0,1
158,147679,792,25327,35,90.0,1
159,106484,579,30446,32,50.0,0
160,82350,657,2747,26,70.0,1
161,77447,401,47838,21,40.0,0
162,58746,780,30399,39,70.0,1
163,48131,840,28738,7,60.0,1
164,96784,768,5116,7,85.0,1
165,94686,739,1102,39,80.0,1
166,41915,838,36656,32,65.0,1
167,129061,682,17623,1,65.0,1
168,36175,436,3905,22,35.0,0
169,142866,486,9837,4,50.0,0
170,44371,342,21682,19,25.0,0
171,50033,592,24394,3,40.0,0
172,112240,750,26339,21,90.0,1
173,50969,380,29220,38,35.0,0
174,133819,756,40493,27,85.0,1
175,119192,581,42908,3,55.0,0
176,85333,748,3280,8,85.0,1
177,108172,457,45503,28,45.0,0
178,38326,621,43569,17,40.0,0
179,80432,420,18155,16,50.0,0
180,80019,375,30625,11,45.0,0
181,108104,597,20657,10,70.0,1
182,91348,505,10101,15,50.0,0
183,99352,432,41104,5,35.0,0
184,62953,375,9213,20,45.0,0
185,102512,486,9456,27,60.0,1
186,142824,630,47486,14,65.0,1
187,31504,581,9203,40,45.0,0
188,119166,457,12219,39,55.0,0
189,124466,346,43038,36,50.0,0
190,45014,596,43068,19,40.0,0
191,119353,725,32735,29,75.0,1
192,145970,708,9569,23,85.0,1
193,100381,399,4316,18,60.0,1
194,128419,620,13440,10,70.0,1
195,64973,520,39230,22,35.0,0
196,130741,410,29241,8,50.0,0
197,114012,499,24758,35,55.0,0
198,74587,431,7336,25,50.0,0
199,44621,821,27305,32,65.0,1
200,68469,827,10160,20,85.0,1
201,86985,821,35887,31,80.0,1
202,50730,726,39253,19,60.0,1
203,89470,533,48277,3,30.0,0
204,30425,332,38523,7,20.0,0
205,124646,813,41073,30,90.0,1
206,144799,632,44399,30,65.0,1
207,124329,795,13600,15,90.0,1
208,64522,800,21777,30,80.0,1
209,95612,688,26856,22,70.0,1
210,129871,654,29991,16,70.0,1
211,53416,440,8158,39,45.0,0
212,96542,402,28086,21,45.0,0
213,149619,716,43787,30,75.0,1
214,43947,391,43749,36,25.0,0
215,144100,337,27017,31,55.0,0
216,111959,605,38221,38,65.0,1
217,69117,816,31672,17,75.0,1
218,140319,314,49274,21,50.0,0
219,113748,715,29029,32,75.0,1
220,96540,554,1447,16,55.0,0
221,109818,311,18141,23,55.0,0
222,56071,618,46238,7,45.0,0
223,50032,789,11039,29,80.0,1
224,79009,553,45586,38,40.0,0
225,129943,414,5047,35,60.0,1
226,51174,752,8617,13,80.0,1
227,100697,435,34636,26,50.0,0
228,132056,560,1197,13,60.0,1
229,99514,783,3079,18,90.0,1
230,30074,759,25739,24,60.0,1
231,108504,421,12696,34,55.0,0
232,72487,774,45138,34,70.0,1
233,94042,493,48515,7,35.0,0
234,32552,334,30257,38,25.0,0
235,44662,522,4699,8,30.0,0
236,77576,542,20776,9,40.0,0
237,145175,807,4072,22,100.0,1
238,139008,452,20653,24,55.0,0
239,135745,447,31344,3,45.0,0
240,70306,508,22644,5,35.0,0
241,61385,340,5769,12,50.0,0
242,37592,640,20869,0,25.0,0
243,61571,706,16684,35,65.0,1
244,145082,825,33589,29,95.0,1
245,104364,620,28127,2,55.0,0
246,40322,727,20345,9,45.0,0
247,41226,645,17864,31,40.0,0
248,125932,473,10172,34,60.0,1
249,93699,349,1418,26,55.0,0
250,136957,766,25458,3,80.0,1
251,39071,306,35879,35,25.0,0
252,129693,483,8013,6,55.0,0
253,99822,706,6178,23,80.0,1
254,130379,382,43843,2,40.0,0
255,46483,384,33758,27,25.0,0
256,46828,516,46369,36,25.0,0
257,116474,333,12754,20,55.0,0
258,92296,466,37959,15,40.0,0
259,102063,380,33819,22,50.0,0
260,51643,634,2941,40,65.0,1
261,64741,742,13172,37,80.0,1
262,99163,574,11107,24,50.0,0
263,144351,305,21202,28,55.0,0
264,109507,824,27741,6,85.0,1
265,85461,598,28119,24,60.0,1
266,57760,689,12108,8,65.0,1
267,100686,606,32734,4,55.0,0
268,128994,768,8010,8,90.0,1
269,125673,750,22937,27,90.0,1
270,120422,505,32392,20,50.0,0
271,56365,633,25645,17,50.0,0
272,123447,484,45676,35,50.0,0
273,70857,370,27813,31,40.0,0
274,82296,686,5847,28,80.0,1
275,118039,849,39916,40,90.0,1
276,115180,709,22731,27,80.0,1
277,78944,774,45535,37,75.0,1
278,87422,387,8606,9,50.0,0
279,147914,748,48316,28,85.0,1
280,97839,468,49528,15,40.0,0
281,89177,714,42271,11,65.0,1
282,45860,698,1291,13,65.0,1
283,62493,491,24972,20,40.0,0
284,59451,697,41062,25,60.0,1
285,38392,604,41270,37,40.0,0
286,74313,444,34477,24,35.0,0
287,32757,477,37366,10,25.0,0
288,107110,796,9947,12,95.0,1
289,102603,725,47539,28,70.0,1
290,60161,850,19918,10,80.0,1
291,107128,416,18556,34,55.0,0
292,58864,523,28862,6,30.0,0
293,30942,749,8693,15,65.0,1
294,39305,511,14562,3,20.0,0
295,122778,599,19961,36,70.0,1
296,112719,360,19174,8,50.0,0
297,37716,801,10317,36,70.0,1
298,60007,712,34791,17,60.0,1
299,38834,395,48902,29,25.0,0
300,148675,516,33421,17,55.0,0
301,34117,651,45731,3,30.0,0
302,142674,751,30918,0,75.0,1
303,73309,395,43899,23,35.0,0
304,39287,612,48578,14,40.0,0
305,97391,531,35042,28,45.0,0
306,61195,372,16004,24,40.0,0
307,66500,691,9725,9,65.0,1
308,117684,518,42161,9,45.0,0
309,93624,443,9071,37,55.0,0
310,58080,386,17263,35,40.0,0
311,100678,510,34931,38,50.0,0
312,47342,806,26289,7,60.0,1
313,124811,730,24947,34,80.0,1
314,145655,568,15138,2,45.0,0
315,104847,725,28759,25,75.0,1
316,105525,823,14316,9,90.0,1
317,91953,359,17022,5,45.0,0
318,61850,422,1830,8,45.0,0
319,132841,575,49033,7,45.0,0
320,91993,378,33515,29,45.0,0
321,135840,405,38611,7,45.0,0
322,83354,692,10835,11,75.0,1
323,54957,726,48204,20,60.0,1
324,42363,347,27275,4,15.0,0
325,42704,767,1522,23,75.0,1
326,116374,805,13807,34,95.0,1
327,86498,654,42677,0,40.0,0
328,76438,543,28513,31,45.0,0
329,85519,832,28070,23,85.0,1
330,83883,376,39790,36,40.0,0
331,91213,702,46922,20,65.0,1
332,143224,411,11184,6,55.0,0
333,125561,762,21205,29,90.0,1
334,37100,520,22482,9,20.0,0
335,118259,331,27502,28,55.0,0
336,115649,312,5041,14,60.0,1
337,114696,322,5225,12,60.0,1
338,42899,351,12009,36,30.0,0
339,37944,662,15071,11,45.0,0
340,82772,721,37089,30,65.0,1
341,125448,838,17328,40,95.0,1
342,74473,652,38070,32,50.0,0
343,134935,587,4839,30,75.0,1
344,142941,546,18467,34,55.0,0
345,44322,697,24252,11,50.0,0
346,62591,660,38201,36,50.0,0
347,55112,802,3487,5,85.0,1
348,54931,433,23331,11,35.0,0
349,100292,413,35491,23,50.0,0
350,88800,609,22142,8,60.0,1
351,48373,665,15630,37,45.0,0
352,85296,700,38190,2,55.0,0
353,54050,808,10217,21,85.0,1
354,66509,390,47462,40,35.0,0
355,90637,658,17820,6,60.0,1
356,62742,804,25819,22,75.0,1
357,144620,334,20327,1,40.0,0
358,39880,376,36851,5,20.0,0
359,88082,744,11295,3,75.0,1
360,135909,543,7285,3,50.0,0
361,142898,601,44386,40,65.0,1
362,142193,383,32035,7,50.0,0
363,102132,696,13116,23,80.0,1
364,42833,531,18600,36,25.0,0
365,36630,723,39648,14,50.0,0
366,115477,541,32212,19,50.0,0
367,100855,759,12329,10,90.0,1
368,139579,506,42105,9,45.0,0
369,31934,633,19101,33,40.0,0
370,42224,451,38132,37,25.0,0
371,128771,848,23535,26,95.0,1
372,141240,712,10427,39,85.0,1
373,60982,786,18601,23,75.0,1
374,51798,533,9807,19,45.0,0
375,83269,492,29948,13,45.0,0
376,93653,462,5300,19,55.0,0
377,93092,359,17350,2,40.0,0
378,58016,817,27014,40,75.0,1
379,143331,785,39461,35,85.0,1
380,82565,466,38503,13,40.0,0
381,148284,320,45708,0,35.0,0
382,37685,581,28774,24,40.0,0
383,51579,404,1481,32,50.0,0
384,79672,793,5183,21,90.0,1
385,30282,546,4720,38,35.0,0
386,81173,565,28431,25,45.0,0
387,64760,527,45978,34,35.0,0
388,132769,485,20253,6,50.0,0
389,132908,391,15565,22,55.0,0
390,89638,601,31393,7,55.0,0
391,67388,422,45610,24,35.0,0
392,85444,650,27816,36,60.0,1
393,121303,640,42355,11,65.0,1
394,125748,462,33084,5,45.0,0
395,132676,304,3472,34,60.0,1
396,102845,495,2174,0,45.0,0
397,116752,692,33986,37,75.0,1
398,124163,836,23140,27,95.0,1
399,93788,468,27436,1,30.0,0
400,50289,675,47603,2,50.0,0
401,54890,320,4161,7,45.0,0
402,68890,309,20733,26,40.0,0
403,58534,407,34527,39,35.0,0
404,37665,569,35284,12,25.0,0
405,105914,638,16368,0,55.0,0
406,126434,823,5918,6,95.0,1
407,101066,402,12449,2,45.0,0
408,37989,346,1633,8,35.0,0
409,128038,395,25420,21,55.0,0
410,71104,731,43522,10,60.0,1
411,37492,794,38286,28,60.0,1
412,36572,794,32989,7,55.0,0
413,106569,529,44898,21,45.0,0
414,92493,793,23659,24,80.0,1
415,95909,817,31755,31,85.0,1
416,141767,351,34222,14,55.0,0
417,99615,758,6768,31,90.0,1
418,50635,300,6956,38,45.0,0
419,37455,649,24812,3,30.0,0
420,96562,763,8472,6,85.0,1
421,40500,408,4000,10,40.0,0
422,141587,423,26748,13,55.0,0
423,54356,426,30524,29,35.0,0
424,38981,743,39346,30,60.0,1
425,107992,406,26389,38,55.0,0
426,38907,580,27074,21,40.0,0
427,118501,606,46973,35,65.0,1
428,142960,597,45997,22,65.0,1
429,60828,630,47553,7,45.0,0
430,82923,592,28681,0,45.0,0
431,45713,593,45786,16,40.0,0
432,146691,667,30661,6,65.0,1
433,104668,698,16571,32,80.0,1
434,62271,355,1849,16,50.0,0
435,105880,501,48507,12,45.0,0
436,107924,422,25720,2,45.0,0
437,35209,458,3617,9,30.0,0
438,111183,666,5776,20,75.0,1
439,40745,713,7025,22,60.0,1
440,84948,786,37787,0,60.0,1
441,116163,628,25993,7,65.0,1
442,106503,756,32903,2,75.0,1
443,104085,846,1480,40,100.0,1
444,98522,850,47054,27,80.0,1
445,71467,639,3482,5,60.0,1
446,64179,717,26430,28,60.0,1
447,56772,346,46933,4,25.0,0
448,117782,748,25996,25,90.0,1
449,123872,602,42552,9,60.0,1
450,71180,444,9076,2,35.0,0
451,61285,516,28043,32,35.0,0
452,64814,355,36969,29,35.0,0
453,81876,798,22682,22,80.0,1
454,47154,636,41392,19,40.0,0
455,118039,304,21526,15,55.0,0
456,114607,639,32454,29,65.0,1
457,69321,587,10175,34,60.0,1
458,89929,714,39668,13,65.0,1
459,71441,674,26722,14,65.0,1
460,128548,392,27003,23,55.0,0
461,39508,756,11434,11,65.0,1
462,31220,667,3648,14,50.0,0
463,90068,830,24674,24,85.0,1
464,111416,580,49621,16,60.0,1
465,103792,829,17487,24,95.0,1
466,43104,306,33888,8,20.0,0
467,39602,461,24738,38,25.0,0
468,100468,790,32393,13,85.0,1
469,57938,464,9829,40,45.0,0
470,96307,829,27571,38,85.0,1
471,64760,759,40749,30,70.0,1
472,47361,486,41842,32,25.0,0
473,75745,535,25786,24,45.0,0
474,145456,481,32186,39,55.0,0
475,39016,301,45470,27,25.0,0
476,145247,690,23971,37,80.0,1
477,62018,538,6493,18,45.0,0
478,78434,835,8722,33,90.0,1
479,67353,458,28923,37,35.0,0
480,50676,508,28081,35,35.0,0
481,87433,652,47235,25,55.0,0
482,139280,465,7571,13,60.0,1
483,101200,393,10524,30,55.0,0
484,122214,833,19774,38,95.0,1
485,69651,830,19743,12,80.0,1
486,110173,336,24575,15,55.0,0
487,135788,704,27571,37,80.0,1
488,115717,656,23772,17,70.0,1
489,99329,479,27681,32,45.0,0
490,31025,850,38676,16,65.0,1
491,117538,769,45668,29,85.0,1
492,137099,535,21691,26,55.0,0
493,102692,708,45151,21,70.0,1
494,69240,575,12978,12,45.0,0
495,116951,664,11223,6,70.0,1
496,43577,343,32607,23,25.0,0
497,145097,586,27075,14,70.0,1
498,47601,333,33930,22,25.0,0
499,64664,308,1774,13,50.0,0
500,45129,542,18655,30,25.0,0
501,146616,673,27253,17,80.0,1
502,44029,576,16453,35,30.0,0
503,127310,480,28624,31,55.0,0
504,102512,556,37840,36,50.0,0
505,50374,398,30481,21,35.0,0
506,65697,424,24009,38,40.0,0
507,66930,632,45118,32,50.0,0
508,109276,471,42981,21,50.0,0
509,57607,621,21766,18,55.0,0
510,124058,833,30510,26,95.0,1
511,74942,381,14800,10,45.0,0
512,56685,706,35339,5,55.0,0
513,120111,590,30042,40,65.0,1
514,113130,787,31617,34,85.0,1
515,141792,745,35305,40,90.0,1
516,64600,615,24971,26,55.0,0
517,96244,847,1545,31,95.0,1
518,94032,307,36927,23,45.0,0
519,62914,699,25796,14,60.0,1
520,148664,575,28060,12,55.0,0
521,149034,803,13306,20,100.0,1
522,140900,428,47871,28,50.0,0
523,36658,619,33662,23,40.0,0
524,42097,701,5678,34,60.0,1
525,113136,554,26218,28,55.0,0
526,85518,784,26501,19,80.0,1
527,138704,503,24620,3,45.0,0
528,66265,582,39318,7,45.0,0
529,35778,680,6864,15,60.0,1
530,30464,849,8038,8,65.0,1
531,73719,497,2399,24,50.0,0
532,131072,601,36568,31,65.0,1
533,47146,464,5513,33,35.0,0
534,113507,688,49080,11,70.0,1
535,64335,696,13443,33,70.0,1
536,51178,413,7308,33,45.0,0
537,127154,409,32809,12,50.0,0
538,87912,562,4216,23,55.0,0
539,102309,381,31674,40,50.0,0
540,122493,572,35669,2,40.0,0
541,86057,536,35842,24,40.0,0
542,103519,725,49896,6,65.0,1
543,31267,484,37042,25,25.0,0
544,44663,632,25361,26,40.0,0
545,39862,684,37060,16,50.0,0
546,145750,316,34922,8,50.0,0
547,120573,823,37459,36,90.0,1
548,148479,675,39152,15,75.0,1
549,49536,379,48420,20,25.0,0
550,101511,690,6143,3,75.0,1
551,34722,532,49999,38,25.0,0
552,139392,453,22419,32,55.0,0
553,78393,816,6903,14,95.0,1
554,106350,350,36923,25,50.0,0
555,102420,502,32972,25,50.0,0
556,49410,740,22195,36,60.0,1
557,86333,324,20976,10,50.0,0
558,46704,539,14086,23,30.0,0
559,35482,594,1900,21,55.0,0
560,70404,516,14356,34,45.0,0
561,77795,318,25681,37,45.0,0
562,147831,354,31471,0,40.0,0
563,134349,599,43559,24,65.0,1
564,142814,390,13217,12,60.0,1
565,35229,612,22860,31,40.0,0
566,147823,541,33850,17,55.0,0
567,76898,455,23399,25,45.0,0
568,57535,456,28948,19,35.0,0
569,119399,507,10051,19,60.0,1
570,62706,461,21807,4,30.0,0
571,117416,330,21885,26,55.0,0
572,43473,409,9620,11,35.0,0
573,76357,326,24544,5,40.0,0
574,132251,488,26392,31,55.0,0
575,103385,576,28069,14,50.0,0
576,145885,801,46079,20,90.0,1
577,144650,620,26831,39,70.0,1
578,83264,343,17103,33,50.0,0
579,111351,494,20082,28,55.0,0
580,128235,355,46216,33,50.0,0
581,50257,438,26760,26,35.0,0
582,61029,631,46332,10,50.0,0
583,143325,836,47352,24,90.0,1
584,51299,344,12199,21,45.0,0
585,134842,352,28497,19,55.0,0
586,136269,507,1231,39,60.0,1
587,53206,805,16589,13,80.0,1
588,145528,584,41616,40,65.0,1
589,84040,337,10527,2,40.0,0
590,33248,465,45046,18,25.0,0
591,53509,668,3348,5,60.0,1
592,126542,366,20191,30,55.0,0
593,73540,359,8163,36,45.0,0
594,132548,737,40901,20,75.0,1
595,83964,832,48787,40,80.0,1
596,135150,776,41990,7,80.0,1
597,117806,658,37727,40,65.0,1
598,143254,607,34206,35,70.0,1
599,126345,329,12510,12,60.0,1
600,136266,793,11183,40,95.0,1
601,62527,357,35149,19,35.0,0
602,64970,662,5339,9,60.0,1
603,50866,491,40006,7,30.0,0
604,133202,723,6688,31,85.0,1
605,121917,479,8355,23,60.0,1
606,44168,812,11097,12,70.0,1
607,80140,400,34826,8,35.0,0
608,144316,389,22842,29,55.0,0
609,35075,514,22029,12,25.0,0
610,142537,452,11321,17,60.0,1
611,91694,626,18763,9,60.0,1
612,59154,646,36427,28,50.0,0
613,56158,736,26684,11,60.0,1
614,137031,640,13985,34,70.0,1
615,90332,779,7374,29,90.0,1
616,75830,447,41431,16,40.0,0
617,70001,764,32949,1,55.0,0
618,137549,430,34288,6,50.0,0
619,134247,710,39701,26,75.0,1
620,144206,513,46485,37,50.0,0
621,59831,477,44424,4,25.0,0
622,59219,399,30177,11,35.0,0
623,33101,392,15261,8,20.0,0
624,116511,763,35816,18,85.0,1
625,55313,745,48041,22,70.0,1
626,82227,678,36971,3,55.0,0
627,73025,540,29292,37,35.0,0
628,66517,477,32121,8,30.0,0
629,143292,437,1760,4,50.0,0
630,39099,386,9992,26,30.0,0
631,131361,821,28795,35,95.0,1
632,66585,810,48901,15,75.0,1
633,76025,794,47195,23,75.0,1
634,114080,586,31470,33,65.0,1
635,96768,619,41176,3,45.0,0
636,82386,639,28591,22,60.0,1
637,119065,473,38542,3,40.0,0
638,140580,817,6037,17,100.0,1
639,100282,478,39782,9,45.0,0
640,73404,840,3168,21,90.0,1
641,33617,692,16594,28,50.0,0
642,45118,418,4442,10,40.0,0
643,144955,699,32102,16,80.0,1
644,64237,842,45752,2,65.0,1
645,53405,643,18716,17,55.0,0
646,106099,499,35075,21,50.0,0
647,64795,312,27951,6,30.0,0
648,35014,324,41592,5,20.0,0
649,44208,422,6661,38,35.0,0
650,108193,559,20304,29,55.0,0
651,86959,563,11614,4,40.0,0
652,75309,482,29873,4,35.0,0
653,125491,741,15312,39,90.0,1
654,133078,556,30221,1,40.0,0
655,71114,637,26646,36,55.0,0
656,87199,531,1216,24,55.0,0
657,109457,710,4617,40,85.0,1
658,97033,596,43453,12,55.0,0
659,45157,409,42328,22,25.0,0
660,80488,544,33062,24,40.0,0
661,147899,337,23235,3,45.0,0
662,105574,835,31039,34,90.0,1
663,54914,782,41525,2,60.0,1
664,63386,767,41057,10,70.0,1
665,35817,364,14280,27,30.0,0
666,122901,440,22075,13,55.0,0
667,87154,472,46632,23,40.0,0
668,30221,461,2024,31,40.0,0
669,98146,429,14510,9,45.0,0
670,135710,484,48002,31,50.0,0
671,100575,541,13576,7,50.0,0
672,120027,513,19115,3,45.0,0
673,124297,344,4540,23,60.0,1
674,127248,850,12526,10,100.0,1
675,126605,633,28463,12,70.0,1
676,117900,722,14104,24,80.0,1
677,55825,482,26384,23,35.0,0
678,77739,332,46364,36,40.0,0
679,86531,525,20343,38,50.0,0
680,39171,535,6667,26,35.0,0
681,117062,314,48842,27,45.0,0
682,73279,305,28379,2,30.0,0
683,111678,400,30651,31,50.0,0
684,71145,667,20384,15,55.0,0
685,116951,324,30808,29,50.0,0
686,141151,372,26223,21,55.0,0
687,46334,643,49218,3,30.0,0
688,124339,341,24958,23,55.0,0
689,147970,544,36365,7,50.0,0
690,69363,530,22001,22,40.0,0
691,96469,797,33863,33,80.0,1
692,70538,367,13343,29,45.0,0
693,117410,451,33527,9,45.0,0
694,83528,435,32057,22,45.0,0
695,72753,537,35053,21,35.0,0
696,82743,755,31015,19,80.0,1
697,121384,595,4101,9,70.0,1
698,68752,486,12492,9,40.0,0
699,102667,488,14445,35,55.0,0
700,46683,466,35972,19,25.0,0
701,55144,459,1281,34,50.0,0
702,85108,450,38043,28,40.0,0
703,117153,756,24422,5,85.0,1
704,79695,584,13826,1,50.0,0
705,118777,625,40529,38,65.0,1
706,128059,678,26304,23,80.0,1
707,148332,520,48700,28,50.0,0
708,52810,734,48749,26,60.0,1
709,110676,837,22981,4,85.0,1
710,104593,724,12461,35,80.0,1
711,69446,596,37298,31,50.0,0
712,83225,529,2758,0,40.0,0
713,101819,727,12755,31,80.0,1
714,139278,670,39080,30,75.0,1
715,30053,682,34588,36,50.0,0
716,69829,438,24421,10,40.0,0
717,67606,842,42873,4,65.0,1
718,57549,630,21723,19,55.0,0
719,86346,440,34958,18,40.0,0
720,132990,815,15490,12,95.0,1
721,106019,419,9600,1,45.0,0
722,109516,650,12285,19,70.0,1
723,115813,428,14752,8,50.0,0
724,72237,343,13868,6,40.0,0
725,90946,344,5341,19,55.0,0
726,87905,489,44948,22,40.0,0
727,87954,660,11522,32,65.0,1
728,118555,841,15221,12,95.0,1
729,58010,816,47383,30,75.0,1
730,97000,734,15042,32,75.0,1
731,92021,807,24674,18,85.0,1
732,134036,754,15802,35,90.0,1
733,148119,483,1837,31,60.0,1
734,134336,404,49590,10,50.0,0
735,126463,811,19252,37,95.0,1
736,52241,796,34516,17,70.0,1
737,116356,330,7527,3,50.0,0
738,41114,634,11009,19,45.0,0
739,67196,600,44390,31,50.0,0
740,97561,421,26141,28,45.0,0
741,117012,468,33209,27,50.0,0
742,112960,781,32189,35,85.0,1
743,111167,661,19640,20,70.0,1
744,73933,327,41970,21,35.0,0
745,42240,553,16376,19,30.0,0
746,137272,320,36285,20,50.0,0
747,128453,322,21743,24,55.0,0
748,60784,644,33553,32,50.0,0
749,118184,506,33568,40,50.0,0
750,70687,604,38586,25,50.0,0
751,59444,843,32147,27,75.0,1
752,135717,743,44480,34,85.0,1
753,56100,484,2219,40,50.0,0
754,49313,778,18559,40,65.0,1
755,33201,834,14149,23,65.0,1
756,36057,626,5222,40,50.0,0
757,62092,541,27598,15,35.0,0
758,92277,746,28657,2,70.0,1
759,110120,343,48348,31,45.0,0
760,141376,716,24818,5,75.0,1
761,130727,812,8906,33,100.0,1
762,39545,543,40309,7,20.0,0
763,89692,733,15287,9,70.0,1
764,84321,357,33136,34,45.0,0
765,146147,584,10496,23,75.0,1
766,112544,545,17579,35,55.0,0
767,105454,697,1515,25,85.0,1
768,55485,464,29760,40,35.0,0
769,124155,782,49296,26,85.0,1
770,121272,818,5349,22,100.0,1
771,80328,353,43033,11,40.0,0
772,94799,621,38736,5,50.0,0
773,82383,720,21932,28,70.0,1
